id,nume,diacritice,judet,auto,zip,populatie,lat,lng
171,Carpenisu,Cărpenişu,Giurgiu,GR,87086,964,445.351.937,256.301.824
172,Cascioarele (Gaiseni),Căscioarele (Găiseni),Giurgiu,GR,87087,233,444.996.271,256.347.739
173,Podu Popa Nae,Podu Popa Nae,Giurgiu,GR,87088,202,445.189.985,25.607.871
174,Gaujani,Găujani,Giurgiu,GR,87090,1278,437.547.562,257.032.726
175,Cetatuia,Cetăţuia,Giurgiu,GR,87091,220,43.755.788,257.442.348
176,Pietrisu,Pietrişu,Giurgiu,GR,87092,1015,43.726.035,256.718.139
177,Ghimpati,Ghimpaţi,Giurgiu,GR,87095,2527,441.678.743,257.650.381
178,Copaciu,Copaciu,Giurgiu,GR,87096,1013,441.800.456,257.652.447
179,Naipu,Naipu,Giurgiu,GR,87097,1863,441.544.774,257.597.973
180,Valea Plopilor,Valea Plopilor,Giurgiu,GR,87098,661,442.410.598,258.165.247
181,Gogosari,Gogoşari,Giurgiu,GR,87100,900,438.680.859,256.752.665
182,Draghiceanu,Drăghiceanu,Giurgiu,GR,87101,155,438.640.145,256.770.689
183,Izvoru (Gogosari),Izvoru (Gogoşari),Giurgiu,GR,87102,860,438.885.786,256.606.522
184,Ralesti,Răleşti,Giurgiu,GR,87103,193,438.551.288,256.837.694
185,Gostinari,Gostinari,Giurgiu,GR,87105,2068,441.866.629,262.202.302
186,Mironesti,Mironeşti,Giurgiu,GR,87106,566,441.716.802,262.462.374
187,Gostinu,Gostinu,Giurgiu,GR,87110,2032,439.965.157,261.184.158
188,Gradinari,Grădinari,Giurgiu,GR,87115,1086,443.973.627,258.092.406
189,Tantava,Tântava,Giurgiu,GR,87116,1366,444.157.679,258.275.252
190,Zorile,Zorile,Giurgiu,GR,87117,1126,443.777.819,258.038.541
191,Greaca,Greaca,Giurgiu,GR,87120,1831,441.102.883,263.312.122
192,Putu Greci,Puţu Greci,Giurgiu,GR,87121,369,441.409.151,26.346.006
193,Zboiu,Zboiu,Giurgiu,GR,87122,343,441.258.711,263.077.938
194,Hotarele,Hotarele,Giurgiu,GR,87125,3939,441.778.868,263.748.815
195,Herasti,Herăşti,Giurgiu,GR,87126,2115,442.163.065,263.584.504
196,Isvoarele,Isvoarele,Giurgiu,GR,87127,1489,44.150.528,262.972.159
197,Milosesti,Miloşeşti,Giurgiu,GR,87128,254,442.110.588,263.746.788
198,Teiusu,Teiuşu,Giurgiu,GR,87129,262,44.167.017,262.775.692
199,Iepuresti,Iepureşti,Giurgiu,GR,87130,1032,442.542.603,258.833.948
200,Banesti,Băneşti,Giurgiu,GR,87131,94,44.274.465,258.885.107
201,Chirculesti,Chirculeşti,Giurgiu,GR,87132,74,442.651.142,259.219.794
202,Gorneni,Gorneni,Giurgiu,GR,87133,624,44.282.595,258.625.612
203,Stalpu,Stâlpu,Giurgiu,GR,87134,291,442.682.489,258.534.827
204,Valter Maracineanu,Valter Mărăcineanu,Giurgiu,GR,87136,110,442.350.415,258.666.767
205,Izvoarele,Izvoarele,Giurgiu,GR,87140,1323,439.942.886,257.970.218
206,Chiriacu,Chiriacu,Giurgiu,GR,87141,1419,440.500.299,257.780.257
207,Dimitrie Cantemir,Dimitrie Cantemir,Giurgiu,GR,87142,212,440.261.519,258.163.462
208,Petru Rares,Petru Rareş,Giurgiu,GR,87143,160,440.989.346,257.926.524
209,Radu Voda,Radu Vodă,Giurgiu,GR,87144,259,440.052.381,258.172.071
210,Valea Bujorului,Valea Bujorului,Giurgiu,GR,87146,557,440.769.981,258.329.317
211,Joita,Joiţa,Giurgiu,GR,87150,2164,444.955.737,258.558.454
212,Bacu,Bâcu,Giurgiu,GR,87151,1700,444.782.931,258.915.588
213,Cosoba,Cosoba,Giurgiu,GR,87152,2611,44.525.405,258.089.449
214,Sabareni,Săbăreni,Giurgiu,GR,87153,2864,44.507.397,258.731.432
215,Letca Noua,Letca Nouă,Giurgiu,GR,87155,1109,442.335.644,257.360.164
216,Letca Veche,Letca Veche,Giurgiu,GR,87156,1171,441.980.961,256.902.956
217,Milcovatu,Milcovăţu,Giurgiu,GR,87157,1537,442.642.463,257.000.813
218,Marsa,Mârşa,Giurgiu,GR,87160,2742,44.365.091,25.565.693
219,Mihai Bravu,Mihai Bravu,Giurgiu,GR,87165,2586,441.386.034,260.567.838
220,Ogrezeni,Ogrezeni,Giurgiu,GR,87170,3949,444.116.847,257.804.779
221,Hobaia,Hobaia,Giurgiu,GR,87171,957,443.893.455,257.763.197
222,Oinacu,Oinacu,Giurgiu,GR,87175,1758,439.448.258,260.408.155
223,Branistea,Braniştea,Giurgiu,GR,87176,1006,439.664.675,260.369.638
224,Comasca,Comasca,Giurgiu,GR,87177,593,439.493.607,260.471.747
225,Prundu,Prundu,Giurgiu,GR,87180,3549,440.571.215,262.592.475
226,Puieni,Puieni,Giurgiu,GR,87181,837,440.767.316,26.189.514
227,Putineiu,Putineiu,Giurgiu,GR,87185,1332,439.311.628,257.360.404
